,Total_Matches,Total_Matches_Reg,Home_Matches_Reg,Total_Matches_AET,Home_Matches_AET,Total_Matches_Pens,Home_Matches_Pens,Home_Wins_Reg,Home_Ties_Reg,Away_Wins_Reg,Away_Ties_Reg,Home_Goals_Reg,Home_Goals_Conceded_Reg,Away_Goals_Reg,Away_Goals_Conceded_Reg,Home_Wins_AET,Home_Ties_AET,Away_Wins_AET,Away_Ties_AET,Home_Goals_AET,Home_Goals_Conceded_AET,Away_Goals_AET,Away_Goals_Conceded_AET,Home_Wins_Pens,Away_Wins_Pens,Home_Goals_Pens,Home_Goals_Conceded_Pens,Away_Goals_Pens,Away_Goals_Conceded_Pens,Reg_Win_%,Reg_Tie_%,AET_Win_%,AET_Tie_%,Pens_Win_%,Away_Reg_Win_%,Home_Reg_Win_%,Away_Reg_Tie_%,Home_Reg_Tie_%,Away_AET_Win_%,Home_AET_Win_%,Away_AET_Tie_%,Home_AET_Tie_%,Away_Pens_Win_%,Home_Pens_Win_%,Avg_Home_Goals_Reg,Avg_Home_Goals_Conceded_Reg,Avg_Away_Goals_Reg,Avg_Away_Goals_Conceded_Reg,Avg_Home_Goals_AET,Avg_Home_Goals_Conceded_AET,Avg_Away_Goals_AET,Avg_Away_Goals_Conceded_AET,Avg_Home_Goals_Pens,Avg_Home_Goals_Conceded_Pens,Avg_Away_Goals_Pens,Avg_Away_Goals_Conceded_Pens
AFC Ajax,102,95,48,7,3,1,0,25,12,13,17,77,51,50,63,0,0,3,1,,,,,0,0,0,0,2,4,0.4,0.30526315789473685,0.42857142857142855,0.14285714285714285,0.0,0.2765957446808511,0.5208333333333334,0.3617021276595745,0.25,0.75,0.0,0.25,0.0,0.0,,1.6041666666666667,1.0625,1.0638297872340425,1.3404255319148937,,,,,,,2.0,4.0
AC Milan,150,134,70,16,5,2,1,38,20,25,26,123,69,83,83,1,1,10,1,,,,,1,0,3,2,2,3,0.4701492537313433,0.34328358208955223,0.6875,0.125,0.5,0.390625,0.5428571428571428,0.40625,0.2857142857142857,0.9090909090909091,0.2,0.09090909090909091,0.2,0.0,1.0,1.7571428571428571,0.9857142857142858,1.296875,1.296875,,,,,3.0,2.0,2.0,3.0
Salzburg,6,6,3,0,0,0,0,0,2,1,1,0,1,4,5,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.16666666666666666,0.5,,,,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666666,,,,,,,0.0,0.3333333333333333,1.3333333333333333,1.6666666666666667,,,,,,,,
AEK Athens,24,24,12,0,0,0,0,2,7,0,5,10,12,7,24,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.08333333333333333,0.5,,,,0.0,0.16666666666666666,0.4166666666666667,0.5833333333333334,,,,,,,0.8333333333333334,1.0,0.5833333333333334,2.0,,,,,,,,
Barcelona,208,188,96,20,10,0,0,76,22,45,29,255,87,160,118,0,0,10,0,,,,,0,0,0,0,0,0,0.6436170212765957,0.2712765957446808,0.5,0.0,,0.4891304347826087,0.7916666666666666,0.31521739130434784,0.22916666666666666,1.0,0.0,0.0,0.0,,,2.65625,0.90625,1.7391304347826086,1.2826086956521738,,,,,,,,
Galatasaray,98,96,47,2,2,0,0,21,15,6,9,62,63,43,102,0,0,0,0,,,0.0,0.0,0,0,0,0,0,0,0.28125,0.25,0.0,0.0,,0.12244897959183673,0.44680851063829785,0.1836734693877551,0.3191489361702128,,0.0,,0.0,,,1.3191489361702127,1.3404255319148937,0.8775510204081632,2.0816326530612246,,,,,,,,
Paris Saint-Germain,74,67,33,7,4,0,0,25,7,14,8,77,37,50,45,0,0,2,1,,,,,0,0,0,0,0,0,0.582089552238806,0.22388059701492538,0.2857142857142857,0.14285714285714285,,0.4117647058823529,0.7575757575757576,0.23529411764705882,0.21212121212121213,0.6666666666666666,0.0,0.3333333333333333,0.0,,,2.3333333333333335,1.121212121212121,1.4705882352941178,1.3235294117647058,,,,,,,,
Bayern Munich,211,192,96,19,9,2,1,73,20,40,30,227,84,159,134,1,1,8,1,,,,,1,0,5,4,3,4,0.5885416666666666,0.2604166666666667,0.47368421052631576,0.10526315789473684,0.5,0.4166666666666667,0.7604166666666666,0.3125,0.20833333333333334,0.8,0.1111111111111111,0.1,0.1111111111111111,0.0,1.0,2.3645833333333335,0.875,1.65625,1.3958333333333333,,,,,5.0,4.0,3.0,4.0
Dinamo Kiev,104,100,51,4,1,0,0,20,13,9,12,79,75,48,82,0,0,3,0,,,,,0,0,0,0,0,0,0.29,0.25,0.75,0.0,,0.1836734693877551,0.39215686274509803,0.24489795918367346,0.2549019607843137,1.0,0.0,0.0,0.0,,,1.5490196078431373,1.4705882352941178,0.9795918367346939,1.6734693877551021,,,,,,,,
Spartak Moskva,68,67,33,1,1,0,0,11,11,9,1,47,50,37,70,0,0,0,0,,,0.0,0.0,0,0,0,0,0,0,0.29850746268656714,0.1791044776119403,0.0,0.0,,0.2647058823529412,0.3333333333333333,0.029411764705882353,0.3333333333333333,,0.0,,0.0,,,1.4242424242424243,1.5151515151515151,1.088235294117647,2.0588235294117645,,,,,,,,
Hajduk Split,8,7,3,1,1,0,0,1,2,1,1,3,5,2,5,0,0,0,0,,,0.0,0.0,0,0,0,0,0,0,0.2857142857142857,0.42857142857142855,0.0,0.0,,0.25,0.3333333333333333,0.25,0.6666666666666666,,0.0,,0.0,,,1.0,1.6666666666666667,0.5,1.25,,,,,,,,
SL Benfica,80,77,37,3,3,0,0,23,9,7,12,55,33,32,57,0,0,0,0,,,0.0,0.0,0,0,0,0,0,0,0.38961038961038963,0.2727272727272727,0.0,0.0,,0.175,0.6216216216216216,0.3,0.24324324324324326,,0.0,,0.0,,,1.4864864864864864,0.8918918918918919,0.8,1.425,,,,,,,,
Manchester United,206,189,96,17,7,1,1,69,24,40,30,221,87,129,107,0,1,10,0,,,,,1,0,6,5,0,0,0.5767195767195767,0.2857142857142857,0.5882352941176471,0.058823529411764705,1.0,0.43010752688172044,0.71875,0.3225806451612903,0.25,1.0,0.0,0.0,0.14285714285714285,,1.0,2.3020833333333335,0.90625,1.3870967741935485,1.1505376344086022,,,,,6.0,5.0,,
IFK Goteborg,20,18,9,2,1,0,0,5,1,2,2,15,15,8,16,0,0,1,0,,,,,0,0,0,0,0,0,0.3888888888888889,0.16666666666666666,0.5,0.0,,0.2222222222222222,0.5555555555555556,0.2222222222222222,0.1111111111111111,1.0,0.0,0.0,0.0,,,1.6666666666666667,1.6666666666666667,0.8888888888888888,1.7777777777777777,,,,,,,,
RSC Anderlecht,66,66,33,0,0,0,0,9,7,2,11,29,53,29,71,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.16666666666666666,0.2727272727272727,,,,0.06060606060606061,0.2727272727272727,0.3333333333333333,0.21212121212121213,,,,,,,0.8787878787878788,1.606060606060606,0.8787878787878788,2.1515151515151514,,,,,,,,
Steaua Bucuresti,42,42,21,0,0,0,0,2,9,2,5,12,31,18,38,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.09523809523809523,0.3333333333333333,,,,0.09523809523809523,0.09523809523809523,0.23809523809523808,0.42857142857142855,,,,,,,0.5714285714285714,1.4761904761904763,0.8571428571428571,1.8095238095238095,,,,,,,,
Real Madrid,225,208,107,17,8,1,1,87,17,45,28,290,94,174,142,1,1,9,0,,,,,1,0,5,3,0,0,0.6346153846153846,0.21634615384615385,0.5882352941176471,0.058823529411764705,1.0,0.44554455445544555,0.8130841121495327,0.27722772277227725,0.1588785046728972,1.0,0.125,0.0,0.125,,1.0,2.710280373831776,0.8785046728971962,1.7227722772277227,1.4059405940594059,,,,,5.0,3.0,,
Blackburn Rovers,6,6,3,0,0,0,0,1,1,0,0,4,2,1,6,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.16666666666666666,0.16666666666666666,,,,0.0,0.3333333333333333,0.0,0.3333333333333333,,,,,,,1.3333333333333333,0.6666666666666666,0.3333333333333333,2.0,,,,,,,,
Borussia Dortmund,90,85,43,5,2,0,0,27,9,16,11,79,45,58,57,1,0,3,0,,,,,0,0,0,0,0,0,0.5058823529411764,0.23529411764705882,0.8,0.0,,0.38095238095238093,0.627906976744186,0.2619047619047619,0.20930232558139536,1.0,0.5,0.0,0.0,,,1.8372093023255813,1.0465116279069768,1.380952380952381,1.3571428571428572,,,,,,,,
Juventus,157,142,70,15,7,2,1,52,18,20,28,150,59,90,100,0,1,6,1,,,,,1,0,4,2,2,3,0.5070422535211268,0.323943661971831,0.4,0.13333333333333333,0.5,0.2777777777777778,0.7428571428571429,0.3888888888888889,0.2571428571428571,0.75,0.0,0.125,0.14285714285714285,0.0,1.0,2.142857142857143,0.8428571428571429,1.25,1.3888888888888888,,,,,4.0,2.0,2.0,3.0
Nantes,22,21,11,1,0,0,0,5,4,2,4,15,8,12,18,0,0,1,0,0.0,0.0,,,0,0,0,0,0,0,0.3333333333333333,0.38095238095238093,1.0,0.0,,0.2,0.45454545454545453,0.4,0.36363636363636365,1.0,,0.0,,,,1.3636363636363635,0.7272727272727273,1.2,1.8,,,,,,,,
FC Porto,149,138,69,11,6,0,0,40,22,23,17,113,57,81,113,0,0,5,0,,,,,0,0,0,0,0,0,0.45652173913043476,0.2826086956521739,0.45454545454545453,0.0,,0.3333333333333333,0.5797101449275363,0.2463768115942029,0.3188405797101449,1.0,0.0,0.0,0.0,,,1.6376811594202898,0.8260869565217391,1.173913043478261,1.6376811594202898,,,,,,,,
Grasshoppers Zurich,12,12,6,0,0,0,0,2,1,1,1,6,7,5,11,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.25,0.16666666666666666,,,,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.16666666666666666,,,,,,,1.0,1.1666666666666667,0.8333333333333334,1.8333333333333333,,,,,,,,
Ferencvaros,6,6,3,0,0,0,0,0,2,1,0,5,9,4,10,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.16666666666666666,0.3333333333333333,,,,0.3333333333333333,0.0,0.0,0.6666666666666666,,,,,,,1.6666666666666667,3.0,1.3333333333333333,3.3333333333333335,,,,,,,,
