,Total_Matches,Total_Matches_Reg,Home_Matches_Reg,Total_Matches_AET,Home_Matches_AET,Total_Matches_Pens,Home_Matches_Pens,Home_Wins_Reg,Home_Ties_Reg,Away_Wins_Reg,Away_Ties_Reg,Home_Goals_Reg,Home_Goals_Conceded_Reg,Away_Goals_Reg,Away_Goals_Conceded_Reg,Home_Wins_AET,Home_Ties_AET,Away_Wins_AET,Away_Ties_AET,Home_Wins_Pens,Away_Wins_Pens,Reg_Win_%,Reg_Tie_%,AET_Win_%,AET_Tie_%,Pens_Win_%,Away_Reg_Win_%,Home_Reg_Win_%,Away_Reg_Tie_%,Home_Reg_Tie_%,Away_AET_Win_%,Home_AET_Win_%,Away_AET_Tie_%,Home_AET_Tie_%,Away_Pens_Win_%,Home_Pens_Win_%,Avg_Home_Goals_Reg,Avg_Home_Goals_Conceded_Reg,Avg_Away_Goals_Reg,Avg_Away_Goals_Conceded_Reg
Werder Bremen,12,12,6,0,0,0,0,2,2,0,4,7,8,6,13,0,0,0,0,0,0,0.16666666666666666,0.5,,,,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,,,,,,,1.1666666666666667,1.3333333333333333,1.0,2.1666666666666665
Anorthosis Famagusta,6,6,3,0,0,0,0,1,2,0,1,8,6,0,2,0,0,0,0,0,0,0.16666666666666666,0.5,,,,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,,,,,,,2.6666666666666665,2.0,0.0,0.6666666666666666
AS Roma,30,30,15,0,0,0,0,7,2,3,4,25,27,19,31,0,0,0,0,0,0,0.3333333333333333,0.2,,,,0.2,0.4666666666666667,0.26666666666666666,0.13333333333333333,,,,,,,1.6666666666666667,1.8,1.2666666666666666,2.066666666666667
CFR Cluj,18,18,9,0,0,0,0,2,2,3,1,10,17,10,11,0,0,0,0,0,0,0.2777777777777778,0.16666666666666666,,,,0.3333333333333333,0.2222222222222222,0.1111111111111111,0.2222222222222222,,,,,,,1.1111111111111112,1.8888888888888888,1.1111111111111112,1.2222222222222223
PSV Eindhoven,14,12,6,2,1,1,0,4,1,0,2,9,8,4,13,0,0,0,1,0,0,0.3333333333333333,0.25,0.0,0.5,0.0,0.0,0.6666666666666666,0.3333333333333333,0.16666666666666666,0.0,0.0,1.0,0.0,0.0,,1.5,1.3333333333333333,0.6666666666666666,2.1666666666666665
Atletico Madrid,50,41,20,9,4,2,1,15,7,8,11,44,14,28,24,0,1,3,1,1,0,0.5609756097560976,0.43902439024390244,0.3333333333333333,0.2222222222222222,0.5,0.38095238095238093,0.75,0.5238095238095238,0.35,0.6,0.0,0.2,0.25,0.0,1.0,2.2,0.7,1.3333333333333333,1.1428571428571428
Barcelona,95,83,44,12,5,0,0,38,8,21,14,130,39,79,47,0,0,7,0,0,0,0.7108433734939759,0.26506024096385544,0.5833333333333334,0.0,,0.5384615384615384,0.8636363636363636,0.358974358974359,0.18181818181818182,1.0,0.0,0.0,0.0,,,2.9545454545454546,0.8863636363636364,2.0256410256410255,1.205128205128205
Sporting CP,14,14,7,0,0,0,0,4,0,2,1,12,14,9,18,0,0,0,0,0,0,0.42857142857142855,0.07142857142857142,,,,0.2857142857142857,0.5714285714285714,0.14285714285714285,0.0,,,,,,,1.7142857142857142,2.0,1.2857142857142858,2.5714285714285716
Basel,34,33,16,1,1,0,0,7,2,3,5,18,21,17,42,0,0,0,0,0,0,0.30303030303030304,0.21212121212121213,0.0,0.0,,0.17647058823529413,0.4375,0.29411764705882354,0.125,,0.0,,0.0,,,1.125,1.3125,1.0,2.4705882352941178
Shakhtar Donetsk,50,48,23,2,2,0,0,10,7,9,3,42,25,37,48,0,0,0,0,0,0,0.3958333333333333,0.20833333333333334,0.0,0.0,,0.36,0.43478260869565216,0.12,0.30434782608695654,,0.0,,0.0,,,1.826086956521739,1.0869565217391304,1.48,1.92
Chelsea,77,66,34,11,5,1,1,26,8,13,13,86,31,56,40,0,2,6,0,1,0,0.5909090909090909,0.3181818181818182,0.5454545454545454,0.18181818181818182,1.0,0.40625,0.7647058823529411,0.40625,0.23529411764705882,1.0,0.0,0.0,0.4,,1.0,2.5294117647058822,0.9117647058823529,1.75,1.25
Girondins Bordeaux,16,16,8,0,0,0,0,6,1,4,1,11,6,8,11,0,0,0,0,0,0,0.625,0.125,,,,0.5,0.75,0.125,0.125,,,,,,,1.375,0.75,1.0,1.375
