,Date,Season,round,leg,home,visitor,FT,HT,aet,pens,hgoal,vgoal,FTagg_home,FTagg_visitor,aethgoal,aetvgoal,tothgoal,totvgoal,totagg_home,totagg_visitor,tiewinner,hcountry,vcountry
0,1955-09-04,1955,Round1,1,Sporting CP,Partizan Belgrade,3-3,1-1,NA,NA,3,3,5,8,NA,NA,3,3,5,8,Partizan Belgrade,POR,SRB
1,1955-09-07,1955,Round1,1,Budapesti Voros Lobogo,RSC Anderlecht,6-3,3-2,NA,NA,6,3,10,4,NA,NA,6,3,10,4,Budapesti Voros Lobogo,HUN,BEL
2,1955-09-08,1955,Round1,1,Servette Geneve,Real Madrid,0-2,0-0,NA,NA,0,2,0,7,NA,NA,0,2,0,7,Real Madrid,SUI,ESP
3,1955-09-14,1955,Round1,1,Rot-Weiss Essen,Hibernian FC,0-4,0-2,NA,NA,0,4,1,5,NA,NA,0,4,1,5,Hibernian FC,GER,SCO
4,1955-09-20,1955,Round1,1,Djurgardens IF,Gwardia Warszawa,0-0,0-0,NA,NA,0,0,4,1,NA,NA,0,0,4,1,Djurgardens IF,SWE,POL
5,1955-09-21,1955,Round1,1,Aarhus GF,Stade Reims,0-2,0-1,NA,NA,0,2,2,4,NA,NA,0,2,2,4,Stade Reims,DEN,FRA
6,1955-09-21,1955,Round1,1,Rapid Wien,PSV Eindhoven,6-1,1-1,NA,NA,6,1,6,2,NA,NA,6,1,6,2,Rapid Wien,AUT,NED
7,1955-10-12,1955,Round1,2,Gwardia Warszawa,Djurgardens IF,1-4,1-4,NA,NA,1,4,1,4,NA,NA,1,4,1,4,Djurgardens IF,POL,SWE
8,1955-10-12,1955,Round1,2,Hibernian FC,Rot-Weiss Essen,1-1,1-0,NA,NA,1,1,5,1,NA,NA,1,1,5,1,Hibernian FC,SCO,GER
9,1955-10-12,1955,Round1,2,Real Madrid,Servette Geneve,5-0,2-0,NA,NA,5,0,7,0,NA,NA,5,0,7,0,Real Madrid,ESP,SUI
10,1955-10-12,1955,Round1,2,Partizan Belgrade,Sporting CP,5-2,2-0,NA,NA,5,2,8,5,NA,NA,5,2,8,5,Partizan Belgrade,SRB,POR
11,1955-10-19,1955,Round1,2,RSC Anderlecht,Budapesti Voros Lobogo,1-4,1-1,NA,NA,1,4,4,10,NA,NA,1,4,4,10,Budapesti Voros Lobogo,BEL,HUN
12,1955-10-26,1955,Round1,2,Stade Reims,Aarhus GF,2-2,0-0,NA,NA,2,2,4,2,NA,NA,2,2,4,2,Stade Reims,FRA,DEN
13,1955-11-01,1955,Round1,1,AC Milan,Saarbrucken,3-4,3-2,NA,NA,3,4,7,5,NA,NA,3,4,7,5,AC Milan,ITA,GER
14,1955-11-01,1955,Round1,2,PSV Eindhoven,Rapid Wien,1-0,1-0,NA,NA,1,0,2,6,NA,NA,1,0,2,6,Rapid Wien,NED,AUT
15,1955-11-23,1955,Round1,2,Saarbrucken,AC Milan,1-4,1-1,NA,NA,1,4,5,7,NA,NA,1,4,5,7,AC Milan,GER,ITA
16,1955-11-23,1955,QF,1,Djurgardens IF,Hibernian FC,1-3,1-1,NA,NA,1,3,1,4,NA,NA,1,3,1,4,Hibernian FC,SWE,SCO
17,1955-11-28,1955,QF,2,Hibernian FC,Djurgardens IF,1-0,0-0,NA,NA,1,0,4,1,NA,NA,1,0,4,1,Hibernian FC,SCO,SWE
18,1955-12-14,1955,QF,1,Stade Reims,Budapesti Voros Lobogo,4-2,3-1,NA,NA,4,2,8,6,NA,NA,4,2,8,6,Stade Reims,FRA,HUN
19,1955-12-25,1955,QF,1,Real Madrid,Partizan Belgrade,4-0,3-0,NA,NA,4,0,4,3,NA,NA,4,0,4,3,Real Madrid,ESP,SRB
20,1955-12-28,1955,QF,2,Budapesti Voros Lobogo,Stade Reims,4-4,1-3,NA,NA,4,4,6,8,NA,NA,4,4,6,8,Stade Reims,HUN,FRA
21,1956-01-18,1955,QF,1,Rapid Wien,AC Milan,1-1,1-1,NA,NA,1,1,3,8,NA,NA,1,1,3,8,AC Milan,AUT,ITA
22,1956-01-29,1955,QF,2,Partizan Belgrade,Real Madrid,3-0,1-0,NA,NA,3,0,3,4,NA,NA,3,0,3,4,Real Madrid,SRB,ESP
23,1956-02-12,1955,QF,2,AC Milan,Rapid Wien,7-2,3-1,NA,NA,7,2,8,3,NA,NA,7,2,8,3,AC Milan,ITA,AUT
24,1956-04-04,1955,SF,1,Stade Reims,Hibernian FC,2-0,0-0,NA,NA,2,0,3,0,NA,NA,2,0,3,0,Stade Reims,FRA,SCO
25,1956-04-18,1955,SF,2,Hibernian FC,Stade Reims,0-1,0-0,NA,NA,0,1,0,3,NA,NA,0,1,0,3,Stade Reims,SCO,FRA
26,1956-04-19,1955,SF,1,Real Madrid,AC Milan,4-2,3-2,NA,NA,4,2,5,4,NA,NA,4,2,5,4,Real Madrid,ESP,ITA
27,1956-05-01,1955,SF,2,AC Milan,Real Madrid,2-1,0-0,NA,NA,2,1,4,5,NA,NA,2,1,4,5,Real Madrid,ITA,ESP
28,1956-06-13,1955,final,NA,Real Madrid,Stade Reims,4-3,2-2,NA,NA,4,3,4,3,NA,NA,4,3,4,3,Real Madrid,ESP,FRA
29,1956-08-01,1956,Round1,1,Borussia Dortmund,Spora Luxemburg,4-3,1-2,NA,NA,4,3,12,5,NA,NA,4,3,12,5,Borussia Dortmund,GER,LUX
30,1956-08-26,1956,Round1,1,Dinamo Bucuresti,Galatasaray,3-1,1-0,NA,NA,3,1,4,3,NA,NA,3,1,4,3,Dinamo Bucuresti,ROU,TUR
31,1956-09-06,1956,Round1,2,Spora Luxemburg,Borussia Dortmund,2-1,2-1,NA,NA,2,1,5,12,NA,NA,2,1,5,12,Borussia Dortmund,LUX,GER
32,1956-09-12,1956,Round1,1,SK Slovan Bratislava,Legia Warsaw,4-0,3-0,NA,NA,4,0,4,2,NA,NA,4,0,4,2,SK Slovan Bratislava,SVK,POL
33,1956-09-12,1956,Round1,1,RSC Anderlecht,Manchester United,0-2,0-1,NA,NA,0,2,0,12,NA,NA,0,2,0,12,Manchester United,BEL,ENG
34,1956-09-16,1956,Round1,replay,Borussia Dortmund,Spora Luxemburg,7-0,4-0,NA,NA,7,0,12,5,NA,NA,7,0,12,5,Borussia Dortmund,GER,LUX
35,1956-09-19,1956,Round1,1,Aarhus GF,OGC Nice,1-1,1-0,NA,NA,1,1,2,6,NA,NA,1,1,2,6,OGC Nice,DEN,FRA
36,1956-09-19,1956,Round1,2,Legia Warsaw,SK Slovan Bratislava,2-0,0-0,NA,NA,2,0,2,4,NA,NA,2,0,2,4,SK Slovan Bratislava,POL,SVK
37,1956-09-20,1956,Round1,1,FC Porto,Athletic Bilbao,1-2,0-1,NA,NA,1,2,3,5,NA,NA,1,2,3,5,Athletic Bilbao,POR,ESP
38,1956-09-26,1956,Round1,2,Athletic Bilbao,FC Porto,3-2,1-2,NA,NA,3,2,5,3,NA,NA,3,2,5,3,Athletic Bilbao,ESP,POR
39,1956-09-26,1956,Round1,2,Manchester United,RSC Anderlecht,10-0,5-0,NA,NA,10,0,12,0,NA,NA,10,0,12,0,Manchester United,ENG,BEL
40,1956-09-27,1956,Round1,2,OGC Nice,Aarhus GF,5-1,3-0,NA,NA,5,1,6,2,NA,NA,5,1,6,2,OGC Nice,FRA,DEN
41,1956-09-30,1956,Round1,2,Galatasaray,Dinamo Bucuresti,2-1,1-1,NA,NA,2,1,3,4,NA,NA,2,1,3,4,Dinamo Bucuresti,TUR,ROU
42,1956-10-17,1956,R16,1,Manchester United,Borussia Dortmund,3-2,3-0,NA,NA,3,2,3,2,NA,NA,3,2,3,2,Manchester United,ENG,GER
43,1956-10-17,1956,R16,1,CDNA Sofia,Dinamo Bucuresti,8-1,3-0,NA,NA,8,1,10,4,NA,NA,8,1,10,4,CDNA Sofia,BUL,ROU
44,1956-10-24,1956,R16,1,Rangers,OGC Nice,2-1,1-1,NA,NA,2,1,4,6,NA,NA,2,1,4,6,OGC Nice,SCO,FRA
45,1956-10-24,1956,R16,1,SK Slovan Bratislava,Grasshoppers Zurich,1-0,1-0,NA,NA,1,0,1,2,NA,NA,1,0,1,2,Grasshoppers Zurich,SVK,SUI
46,1956-11-01,1956,R16,1,Real Madrid,Rapid Wien,4-2,2-0,NA,NA,4,2,7,5,NA,NA,4,2,7,5,Real Madrid,ESP,AUT
47,1956-11-01,1956,R16,1,Rapid JC Heerlen,Crvena Zvezda,3-4,1-2,NA,NA,3,4,3,6,NA,NA,3,4,3,6,Crvena Zvezda,NED,SRB
48,1956-11-14,1956,R16,2,OGC Nice,Rangers,2-1,0-1,NA,NA,2,1,6,4,NA,NA,2,1,6,4,OGC Nice,FRA,SCO
49,1956-11-14,1956,R16,2,Rapid Wien,Real Madrid,3-1,3-0,NA,NA,3,1,5,7,NA,NA,3,1,5,7,Real Madrid,AUT,ESP
50,1956-11-14,1956,R16,2,Crvena Zvezda,Rapid JC Heerlen,2-0,1-0,NA,NA,2,0,6,3,NA,NA,2,0,6,3,Crvena Zvezda,SRB,NED
51,1956-11-21,1956,R16,1,ACF Fiorentina,IFK Norrkoping,1-1,1-1,NA,NA,1,1,2,1,NA,NA,1,1,2,1,ACF Fiorentina,ITA,SWE
52,1956-11-21,1956,R16,2,Borussia Dortmund,Manchester United,0-0,0-0,NA,NA,0,0,2,3,NA,NA,0,0,2,3,Manchester United,GER,ENG
53,1956-11-21,1956,R16,2,Dinamo Bucuresti,CDNA Sofia,3-2,0-1,NA,NA,3,2,4,10,NA,NA,3,2,4,10,CDNA Sofia,ROU,BUL
54,1956-11-22,1956,R16,1,Athletic Bilbao,Budapest Honved SE,3-2,2-0,NA,NA,3,2,6,5,NA,NA,3,2,6,5,Athletic Bilbao,ESP,HUN
55,1956-11-28,1956,R16,replay,OGC Nice,Rangers,3-1,1-0,NA,NA,3,1,6,4,NA,NA,3,1,6,4,OGC Nice,FRA,SCO
56,1956-11-28,1956,R16,2,IFK Norrkoping,ACF Fiorentina,0-1,0-1,NA,NA,0,1,1,2,NA,NA,0,1,1,2,ACF Fiorentina,SWE,ITA
57,1956-12-12,1956,R16,2,Grasshoppers Zurich,SK Slovan Bratislava,2-0,0-0,NA,NA,2,0,2,1,NA,NA,2,0,2,1,Grasshoppers Zurich,SUI,SVK
58,1956-12-13,1956,R16,replay,Real Madrid,Rapid Wien,2-0,2-0,NA,NA,2,0,7,5,NA,NA,2,0,7,5,Real Madrid,ESP,AUT
59,1956-12-20,1956,R16,2,Budapest Honved SE,Athletic Bilbao,3-3,1-1,NA,NA,3,3,5,6,NA,NA,3,3,5,6,Athletic Bilbao,HUN,ESP
60,1957-01-16,1956,QF,1,Athletic Bilbao,Manchester United,5-3,3-0,NA,NA,5,3,5,6,NA,NA,5,3,5,6,Manchester United,ESP,ENG
61,1957-02-06,1956,QF,1,ACF Fiorentina,Grasshoppers Zurich,3-1,3-1,NA,NA,3,1,5,3,NA,NA,3,1,5,3,ACF Fiorentina,ITA,SUI
62,1957-02-06,1956,QF,2,Manchester United,Athletic Bilbao,3-0,1-0,NA,NA,3,0,6,5,NA,NA,3,0,6,5,Manchester United,ENG,ESP
63,1957-02-14,1956,QF,1,Real Madrid,OGC Nice,3-0,1-0,NA,NA,3,0,6,2,NA,NA,3,0,6,2,Real Madrid,ESP,FRA
64,1957-02-17,1956,QF,1,Crvena Zvezda,CDNA Sofia,3-1,2-0,NA,NA,3,1,4,3,NA,NA,3,1,4,3,Crvena Zvezda,SRB,BUL
65,1957-02-24,1956,QF,2,CDNA Sofia,Crvena Zvezda,2-1,2-1,NA,NA,2,1,3,4,NA,NA,2,1,3,4,Crvena Zvezda,BUL,SRB
66,1957-02-27,1956,QF,2,Grasshoppers Zurich,ACF Fiorentina,2-2,1-1,NA,NA,2,2,3,5,NA,NA,2,2,3,5,ACF Fiorentina,SUI,ITA
67,1957-03-14,1956,QF,2,OGC Nice,Real Madrid,2-3,1-1,NA,NA,2,3,2,6,NA,NA,2,3,2,6,Real Madrid,FRA,ESP
68,1957-04-03,1956,SF,1,Crvena Zvezda,ACF Fiorentina,0-1,0-0,NA,NA,0,1,0,1,NA,NA,0,1,0,1,ACF Fiorentina,SRB,ITA
69,1957-04-11,1956,SF,1,Real Madrid,Manchester United,3-1,0-0,NA,NA,3,1,5,3,NA,NA,3,1,5,3,Real Madrid,ESP,ENG
70,1957-04-18,1956,SF,2,ACF Fiorentina,Crvena Zvezda,0-0,0-0,NA,NA,0,0,1,0,NA,NA,0,0,1,0,ACF Fiorentina,ITA,SRB
71,1957-04-25,1956,SF,2,Manchester United,Real Madrid,2-2,0-2,NA,NA,2,2,3,5,NA,NA,2,2,3,5,Real Madrid,ENG,ESP
72,1957-05-30,1956,final,NA,Real Madrid,ACF Fiorentina,2-0,0-0,NA,NA,2,0,2,0,NA,NA,2,0,2,0,Real Madrid,ESP,ITA
73,1957-09-04,1957,Round1,1,Rangers,AS Saint-Etienne,3-1,1-1,NA,NA,3,1,4,3,NA,NA,3,1,4,3,Rangers,SCO,FRA
74,1957-09-04,1957,Round1,1,CDNA Sofia,Budapesti Vasas,2-1,2-0,NA,NA,2,1,3,7,NA,NA,2,1,3,7,Budapesti Vasas,BUL,HUN
75,1957-09-05,1957,Round1,1,Stade Dudelange,Crvena Zvezda,0-5,0-2,NA,NA,0,5,1,14,NA,NA,0,5,1,14,Crvena Zvezda,LUX,SRB
76,1957-09-11,1957,Round1,1,Gwardia Warszawa,SC Wismut Karl-Marx-Stadt,3-1,0-0,NA,NA,3,1,5,5,NA,NA,3,1,5,5,SC Wismut Karl-Marx-Stadt,POL,GER
77,1957-09-11,1957,Round1,1,Aarhus GF,Glenavon FC,0-0,0-0,NA,NA,0,0,3,0,NA,NA,0,0,3,0,Aarhus GF,DEN,NIR
78,1957-09-19,1957,Round1,1,Sevilla,SL Benfica,3-1,0-0,NA,NA,3,1,3,1,NA,NA,3,1,3,1,Sevilla,ESP,POR
79,1957-09-25,1957,Round1,2,Glenavon FC,Aarhus GF,0-3,0-3,NA,NA,0,3,0,3,NA,NA,0,3,0,3,Aarhus GF,NIR,DEN
80,1957-09-25,1957,Round1,2,AS Saint-Etienne,Rangers,2-1,1-0,NA,NA,2,1,3,4,NA,NA,2,1,3,4,Rangers,FRA,SCO
81,1957-09-25,1957,Round1,1,Shamrock Rovers,Manchester United,0-6,0-1,NA,NA,0,6,2,9,NA,NA,0,6,2,9,Manchester United,IRL,ENG
82,1957-09-26,1957,Round1,2,SL Benfica,Sevilla,0-0,0-0,NA,NA,0,0,1,3,NA,NA,0,0,1,3,Sevilla,POR,ESP
83,1957-10-02,1957,Round1,1,AC Milan,Rapid Wien,4-1,2-0,NA,NA,4,1,10,8,NA,NA,4,1,10,8,AC Milan,ITA,AUT
84,1957-10-02,1957,Round1,2,Crvena Zvezda,Stade Dudelange,9-1,7-1,NA,NA,9,1,14,1,NA,NA,9,1,14,1,Crvena Zvezda,SRB,LUX
85,1957-10-02,1957,Round1,2,Manchester United,Shamrock Rovers,3-2,2-0,NA,NA,3,2,9,2,NA,NA,3,2,9,2,Manchester United,ENG,IRL
86,1957-10-03,1957,Round1,2,Budapesti Vasas,CDNA Sofia,6-1,2-1,NA,NA,6,1,7,3,NA,NA,6,1,7,3,Budapesti Vasas,HUN,BUL
87,1957-10-09,1957,Round1,2,Rapid Wien,AC Milan,5-2,2-1,NA,NA,5,2,8,10,NA,NA,5,2,8,10,AC Milan,AUT,ITA
88,1957-10-13,1957,Round1,2,SC Wismut Karl-Marx-Stadt,Gwardia Warszawa,3-1,2-0,NA,NA,3,1,5,5,NA,NA,3,1,5,5,SC Wismut Karl-Marx-Stadt,GER,POL
89,1957-10-15,1957,Round1,replay,SC Wismut Karl-Marx-Stadt,Gwardia Warszawa,1-1,0-1,1-1,coin toss,1,1,5,5,1,1,1,1,5,5,SC Wismut Karl-Marx-Stadt,GER,POL
90,1957-10-30,1957,Round1,replay,AC Milan,Rapid Wien,4-2,2-1,NA,NA,4,2,10,8,NA,NA,4,2,10,8,AC Milan,ITA,AUT
91,1957-10-31,1957,R16,1,Royal Antwerp FC,Real Madrid,1-2,0-1,NA,NA,1,2,1,8,NA,NA,1,2,1,8,Real Madrid,BEL,ESP
92,1957-11-02,1957,R16,1,IFK Norrkoping,Crvena Zvezda,2-2,0-0,NA,NA,2,2,3,4,NA,NA,2,2,3,4,Crvena Zvezda,SWE,SRB
93,1957-11-20,1957,R16,1,SC Wismut Karl-Marx-Stadt,AFC Ajax,1-3,0-2,NA,NA,1,3,1,4,NA,NA,1,3,1,4,AFC Ajax,GER,NED
94,1957-11-20,1957,R16,1,BSC Young Boys,Budapesti Vasas,1-1,1-0,NA,NA,1,1,2,3,NA,NA,1,1,2,3,Budapesti Vasas,SUI,HUN
95,1957-11-20,1957,R16,1,Manchester United,Dukla Praha,3-0,0-0,NA,NA,3,0,3,1,NA,NA,3,0,3,1,Manchester United,ENG,CZE
96,1957-11-23,1957,R16,2,Crvena Zvezda,IFK Norrkoping,2-1,0-1,NA,NA,2,1,4,3,NA,NA,2,1,4,3,Crvena Zvezda,SRB,SWE
97,1957-11-27,1957,R16,1,Borussia Dortmund,CCA Bucuresti,4-2,1-1,NA,NA,4,2,8,6,NA,NA,4,2,8,6,Borussia Dortmund,GER,ROU
98,1957-11-27,1957,R16,1,Sevilla,Aarhus GF,4-0,3-0,NA,NA,4,0,4,2,NA,NA,4,0,4,2,Sevilla,ESP,DEN
